player;team;Height;Foot;Market value;position;dob
Alexander Milošević;AIK Solna;1,93 m;right;€700Th.;Centre-Back;1992-01-30
Bilal Hussein;AIK Solna;1,83 m;right;€1.20m;Central Midfield;2000-04-22
Bojan Radulovic Samoukovic;AIK Solna;1,92 m;right;€200Th.;Centre-Forward;1999-12-29
Budimir Janosevic;AIK Solna;1,90 m;right;€300Th.;Goalkeeper;1989-10-21
Ebenezer Ofori;AIK Solna;1,72 m;left;€400Th.;Defensive Midfield;1995-07-01
Erick Ouma Otieno;AIK Solna;1,70 m;left;€800Th.;Left-Back;1996-09-27
Erik Ring;AIK Solna;m;;€200Th.;Left Winger;2002-04-24
Filip Rogic;AIK Solna;1,82 m;both;€600Th.;Central Midfield;1993-06-14
Henok Goitom;AIK Solna;1,89 m;right;€300Th.;Centre-Forward;1984-09-22
Jetmir Haliti;AIK Solna;1,88 m;;€250Th.;Centre-Back;1996-09-14
Kristoffer Nordfeldt;AIK Solna;1,90 m;right;€900Th.;Goalkeeper;1989-06-23
Mikael Lustig;AIK Solna;1,89 m;right;€500Th.;Right-Back;1986-12-13
Nabil Bahoui;AIK Solna;1,88 m;right;€500Th.;Centre-Forward;1991-02-05
Nicolas Stefanelli;AIK Solna;1,66 m;right;€750Th.;Centre-Forward;1994-11-22
Per Karlsson;AIK Solna;1,84 m;right;€200Th.;Centre-Back;1986-01-02
Saku Ylätupa;AIK Solna;1,70 m;both;€800Th.;Right Winger;1999-08-04
Sebastian Larsson;AIK Solna;1,78 m;right;€600Th.;Central Midfield;1985-06-06
Sotirios Papagiannopoulos;AIK Solna;1,90 m;right;€1.00m;Centre-Back;1990-09-05
Stefan Silva;AIK Solna;1,81 m;right;€200Th.;Centre-Forward;1990-03-11
Tom Strannegård;AIK Solna;1,77 m;;€500Th.;Right Winger;2002-04-29
Yasin Ayari;AIK Solna;1,72 m;right;€50Th.;Central Midfield;2003-10-06
Zachary Elbouzedi;AIK Solna;1,85 m;right;€50Th.;Right Winger;1998-04-05
Alexander Faltsetas;BK Häcken;1,81 m;right;€200Th.;Defensive Midfield;1987-07-04
Alexander Jeremejeff;BK Häcken;1,92 m;right;€800Th.;Centre-Forward;1993-10-12
Ali Youssef;BK Häcken;1,82 m;;€400Th.;Left Winger;2000-08-05
Bénie Adama Traore;BK Häcken;1,72 m;;€1.20m;Right Winger;2002-11-30
Daleho Irandust;BK Häcken;1,85 m;left;€2.00m;Attacking Midfield;1998-06-04
Erik Friberg;BK Häcken;1,80 m;right;€200Th.;Defensive Midfield;1986-02-10
Franklin Degaulle Tebo Uchenna;BK Häcken;m;;;Centre-Back;2000-01-15
Godswill Ekpolo;BK Häcken;1,81 m;right;€1.00m;Centre-Back;1995-05-14
Gustav Berggren;BK Häcken;1,87 m;right;€1.00m;Defensive Midfield;1997-09-07
Jasse Tuominen;BK Häcken;1,87 m;right;€200Th.;Centre-Forward;1995-11-12
Johan Hammar;BK Häcken;1,97 m;right;€300Th.;Centre-Back;1994-02-22
Joona Toivio;BK Häcken;1,86 m;right;€600Th.;Centre-Back;1988-03-10
Kristoffer Lund Hansen;BK Häcken;1,84 m;left;€100Th.;Left-Back;2002-05-14
Leo Bengtsson;BK Häcken;1,79 m;right;€1.20m;Left Winger;1998-05-26
Martin Olsson;BK Häcken;1,78 m;left;€700Th.;Left-Back;1988-05-17
Oskar Sverrisson;BK Häcken;1,84 m;left;€200Th.;Left-Back;1992-11-26
Patrik Wålemark;BK Häcken;1,84 m;left;€800Th.;Right Winger;2001-10-14
Peter Abrahamsson;BK Häcken;1,90 m;;€600Th.;Goalkeeper;1988-07-18
Pontus Dahlberg;BK Häcken;1,94 m;right;€1.20m;Goalkeeper;1999-01-21
Rasmus Lindgren;BK Häcken;1,80 m;right;€200Th.;Centre-Back;1984-11-29
Samir Maarouf;BK Häcken;m;;€25Th.;Left Winger;2001-01-02
Tobias Carlsson;BK Häcken;1,87 m;;€100Th.;Centre-Back;1995-07-28
Tobias Heintz;BK Häcken;1,73 m;right;€600Th.;Left Winger;1998-07-13
Valgeir Fridriksson;BK Häcken;1,91 m;right;€250Th.;Right-Back;2001-09-24
William Milovanovic;BK Häcken;1,81 m;right;€50Th.;Defensive Midfield;2002-05-06
Yannick Armel Assiedou Adjoumani;BK Häcken;1,68 m;;€250Th.;Left-Back;2002-12-29
Abdelrahman Saidi;Degerfors IF;1,86 m;;€400Th.;Left Winger;1999-08-13
Adam Carlén;Degerfors IF;1,93 m;;€350Th.;Central Midfield;2000-06-27
Adhavan Rajamohan;Degerfors IF;1,84 m;;€100Th.;Right Winger;1993-02-21
Alfie Malik Whiteman;Degerfors IF;1,88m;right;;Goalkeeper;1998-10-02
Anton Kralj;Degerfors IF;1,64 m;left;€400Th.;Left-Back;1998-03-12
Christos Gravius;Degerfors IF;1,81 m;left;€300Th.;Central Midfield;1997-10-14
Daniel Janevski;Degerfors IF;1,87 m;right;€250Th.;Centre-Back;1992-10-03
Erik Lindell;Degerfors IF;1,81 m;;€250Th.;Right Midfield;1996-02-14
Ferhad Ayaz;Degerfors IF;1,78 m;right;€400Th.;Defensive Midfield;1994-10-10
Gustav Granath;Degerfors IF;1,91 m;right;€250Th.;Centre-Back;1997-02-15
Ismael Diawara;Degerfors IF;1,94 m;right;€400Th.;Goalkeeper;1994-11-11
Jakob Andersson;Degerfors IF;m;;;Central Midfield;2002-07-29
Jeffrey Gal;Degerfors IF;1,87 m;;€150Th.;Goalkeeper;1993-04-06
Johan Bertilsson;Degerfors IF;1,77 m;right;€300Th.;Second Striker;1988-02-15
Jonathan Syberg Tamimi;Degerfors IF;1,78 m;right;€250Th.;Right Midfield;1994-10-12
Justin Salmon;Degerfors IF;m;;€50Th.;Central Midfield;1999-01-25
Karl Axel Lindahl;Degerfors IF;1,80 m;right;€300Th.;Left Midfield;1995-04-04
Nikola Djurdjic;Degerfors IF;1,86 m;right;€425Th.;Centre-Forward;1986-04-01
Oliver Ekroth;Degerfors IF;1,87 m;;€400Th.;Centre-Back;1992-01-18
Sargon Abraham;Degerfors IF;1,81 m;left;€400Th.;Second Striker;1991-02-07
Sean Sabetkar;Degerfors IF;1,87 m;;€350Th.;Centre-Back;1995-04-28
Sebastian Olsson;Degerfors IF;1,86 m;;€350Th.;Centre-Back;1992-12-31
Victor Edvardsen;Degerfors IF;1,85 m;;€700Th.;Centre-Forward;1996-01-14
Villiam Dahlström;Degerfors IF;1,86 m;;€300Th.;Centre-Forward;1997-06-30
Albion Ademi;Djurgårdens IF;1,73 m;right;€200Th.;Left Winger;1999-02-19
Aleksandr Vasiutin;Djurgårdens IF;1,90 m;right;€700Th.;Goalkeeper;1995-03-04
Aslak Fonn Witry;Djurgårdens IF;1,78 m;right;€1.50m;Right-Back;1996-03-10
Curtis Edwards;Djurgårdens IF;1,83 m;right;€450Th.;Central Midfield;1994-01-12
Edward Chilufya;Djurgårdens IF;1,71 m;;€1.50m;Right Winger;1999-09-17
Elias Andersson;Djurgårdens IF;1,78 m;left;€400Th.;Central Midfield;1996-01-31
Elliot Käck;Djurgårdens IF;1,74 m;left;€700Th.;Left-Back;1989-09-18
Emir Kujovic;Djurgårdens IF;1,94 m;right;€300Th.;Centre-Forward;1988-06-22
Emmanuel Justine Rabby Banda;Djurgårdens IF;1,78 m;left;€200Th.;Central Midfield;1997-09-29
Hampus Finndell;Djurgårdens IF;1,77 m;;€750Th.;Central Midfield;2000-06-06
Haris Radetinac;Djurgårdens IF;1,87 m;right;€200Th.;Left Winger;1985-10-28
Hjalmar Ekdal;Djurgårdens IF;1,87 m;right;€1.20m;Centre-Back;1998-10-21
Jacob Une Larsson;Djurgårdens IF;1,81 m;right;€1.80m;Centre-Back;1994-04-08
Jacob Widell Zetterström;Djurgårdens IF;1,97 m;;€150Th.;Goalkeeper;1998-07-11
Jesper Löfgren;Djurgårdens IF;1,93 m;;€600Th.;Centre-Back;1997-05-03
Jesper Nyholm;Djurgårdens IF;1,83 m;right;€150Th.;Centre-Back;1993-09-10
Joel Asoro;Djurgårdens IF;1,75 m;right;€450Th.;Centre-Forward;1999-04-27
Kalle Holmberg;Djurgårdens IF;1,81 m;left;€900Th.;Centre-Forward;1993-03-03
Leo Cornic;Djurgårdens IF;1,78 m;right;€200Th.;Right-Back;2001-01-02
Magnus Eriksson;Djurgårdens IF;1,79 m;left;€800Th.;Central Midfield;1990-04-08
Nicklas Bärkroth;Djurgårdens IF;1,74 m;right;€500Th.;Left Winger;1992-01-19
Rasmus Schüller;Djurgårdens IF;1,78 m;left;€700Th.;Defensive Midfield;1991-06-18
Alexander Berntsson;Halmstads BK;1,93 m;;€150Th.;Centre-Back;1996-03-30
Alexander Johansson;Halmstads BK;m;;€50Th.;Centre-Forward;2000-01-27
Amir Al-Ammari;Halmstads BK;1,84 m;left;€500Th.;Central Midfield;1997-07-27
Andreas Bengtsson;Halmstads BK;1,88 m;;€350Th.;Left-Back;1996-02-22
Andreas Johansson;Halmstads BK;1,84 m;right;€100Th.;Centre-Back;1982-03-10
Dusan Djuric;Halmstads BK;1,81 m;right;€100Th.;Central Midfield;1984-09-16
Edvin Kurtulus;Halmstads BK;1,85 m;right;€400Th.;Right-Back;2000-03-05
Emil Tot Wikström;Halmstads BK;1,76 m;;€250Th.;Left Midfield;1999-10-10
Erik Ahlstrand;Halmstads BK;m;;€200Th.;Central Midfield;2001-10-14
Joel Allansson;Halmstads BK;1,74 m;;€400Th.;Central Midfield;1992-11-03
Joseph Baffoe;Halmstads BK;1,85 m;right;€400Th.;Centre-Back;1992-11-07
Malkolm Nilsson Säfqvist;Halmstads BK;1,93 m;right;€350Th.;Goalkeeper;1993-08-03
Malte Påhlsson;Halmstads BK;m;right;€100Th.;Goalkeeper;1999-06-02
Marcus Antonsson;Halmstads BK;1,84 m;right;€700Th.;Centre-Forward;1991-05-08
Mikael Boman;Halmstads BK;1,88 m;right;€200Th.;Centre-Forward;1988-07-14
Sadat Karim;Halmstads BK;1,82 m;both;€250Th.;Centre-Forward;1991-10-24
Samuel Kroon;Halmstads BK;1,86 m;right;€250Th.;Right Midfield;1996-11-28
Simon Lundevall;Halmstads BK;1,78 m;;€200Th.;Left Midfield;1988-09-23
Thomas Boakye;Halmstads BK;1,72 m;;€350Th.;Right-Back;1993-05-10
Abdul Rahman Khalili;Hammarby IF;1,80 m;right;€1.20m;Central Midfield;1992-06-07
Aimar Sher;Hammarby IF;1,75 m;right;€1.20m;Central Midfield;2002-12-20
Akinkunmi Ayobami Amoo;Hammarby IF;1,63 m;left;€3.00m;Right Winger;2002-06-07
Aljosa Matko;Hammarby IF;1,77 m;right;€1.00m;Right Winger;2000-03-29
Astrit Selmani;Hammarby IF;1,84 m;right;€1.20m;Centre-Forward;1997-05-13
Axel Sjöberg;Hammarby IF;m;right;€50Th.;Right-Back;2000-04-12
Bayere Junior Loue;Hammarby IF;1,88 m;left;€200Th.;Centre-Forward;2001-01-14
Björn Paulsen;Hammarby IF;1,91 m;right;€500Th.;Centre-Back;1991-07-02
Darijan Bojanic;Hammarby IF;1,86 m;right;€1.00m;Central Midfield;1994-12-28
David Accam;Hammarby IF;1,74 m;right;€400Th.;Right Winger;1990-09-28
David Ousted;Hammarby IF;1,92 m;right;€400Th.;Goalkeeper;1985-02-01
Dennis Widgren;Hammarby IF;1,80 m;left;€400Th.;Left-Back;1994-03-28
Gustav Ludwigson;Hammarby IF;1,82 m;;€1.20m;Left Winger;1993-10-20
Jeppe Andrup Andersen;Hammarby IF;1,78 m;right;€1.00m;Defensive Midfield;1992-12-06
Jusef Erabi;Hammarby IF;m;;;Centre-Forward;2003-06-08
Jón Gudni Fjóluson;Hammarby IF;1,92 m;left;€400Th.;Centre-Back;1989-04-10
Mads Fenger Nielsen;Hammarby IF;1,85 m;right;€700Th.;Centre-Back;1990-09-10
Mayckel Lahdo;Hammarby IF;m;;€25Th.;Left Winger;2002-12-30
Mohammed Aziz Ouattara;Hammarby IF;1,88 m;right;€800Th.;Defensive Midfield;2001-01-04
Mohanad Jeahze;Hammarby IF;1,79 m;left;€600Th.;Left-Back;1997-04-10
Oliver Dovin;Hammarby IF;1,87 m;right;€400Th.;Goalkeeper;2002-07-11
Paulo José De Oliveira;Hammarby IF;1,73 m;right;€200Th.;Left Winger;1986-04-09
Richard Magyar;Hammarby IF;1,92 m;left;€500Th.;Centre-Back;1991-05-03
Simon Sandberg;Hammarby IF;1,86 m;right;€700Th.;Right-Back;1994-03-25
Vladimir Rodic;Hammarby IF;1,76 m;right;€300Th.;Right Midfield;1993-09-07
Williot Swedberg;Hammarby IF;1,85 m;;;Central Midfield;2004-02-01
Ahmed Qasem;IF Elfsborg;m;left;€250Th.;Right Winger;2003-07-12
Alexander Bernhardsson;IF Elfsborg;1,84 m;;€150Th.;Left Winger;1998-09-08
Andrè Ibsen Rømer;IF Elfsborg;1,86 m;right;€700Th.;Defensive Midfield;1993-07-18
Christopher Mc Vey;IF Elfsborg;1,92 m;right;€250Th.;Right-Back;1997-04-12
Emmanuel Boateng;IF Elfsborg;;right;;Central Midfield;1997-06-17
Frederik Holst;IF Elfsborg;1,76 m;right;€800Th.;Central Midfield;1994-09-24
Gustaf Lagerbielke;IF Elfsborg;m;;;Centre-Back;2000-04-10
Hákon Valdimarsson;IF Elfsborg;1,95 m;right;€50Th.;Goalkeeper;2001-10-13
Jacob Ondrejka;IF Elfsborg;m;;€650Th.;Left Winger;2002-09-02
Jeppe Møldrup Okkels;IF Elfsborg;1,83 m;;€700Th.;Left Winger;1999-07-27
Johan Larsson;IF Elfsborg;1,82 m;right;€1.50m;Right-Back;1990-05-05
Joseph Stanley Okumu;IF Elfsborg;1,93 m;right;€2.00m;Centre-Back;1997-05-26
Leo Väisänen;IF Elfsborg;1,88 m;right;€1.20m;Centre-Back;1997-07-23
Marokhy Ndione;IF Elfsborg;1,92 m;right;€600Th.;Centre-Forward;1999-11-04
Maudo Lamine Jarjué;IF Elfsborg;1,89 m;right;€700Th.;Centre-Back;1997-09-30
Noah Söderberg;IF Elfsborg;m;;€100Th.;Central Midfield;2001-08-21
Oliver Zandén;IF Elfsborg;m;;€25Th.;Left-Back;2001-08-14
Per Frick;IF Elfsborg;1,82 m;;€1.20m;Centre-Forward;1992-04-14
Rasmus Alm;IF Elfsborg;1,74 m;;€1.30m;Right Winger;1995-08-17
Robert Gojani;IF Elfsborg;1,74 m;right;€750Th.;Central Midfield;1992-10-19
Samuel Holmén;IF Elfsborg;1,78 m;both;€100Th.;Central Midfield;1984-06-28
Simon Olsson;IF Elfsborg;1,85 m;;€1.20m;Central Midfield;1997-09-14
Simon Strand;IF Elfsborg;1,75 m;right;€900Th.;Left-Back;1993-05-25
Sveinn Gudjohnsen;IF Elfsborg;1,89 m;left;€350Th.;Centre-Forward;1998-05-12
Tim Rönning;IF Elfsborg;2,01 m;right;€900Th.;Goalkeeper;1999-02-15
Alexander Jallow;IFK Göteborg;1,85 m;;€1.00m;Right-Back;1998-03-03
Alhassan Yusuf Abdullahi;IFK Göteborg;1,75 m;right;€1.50m;Central Midfield;2000-07-18
August Erlingmark;IFK Göteborg;1,89 m;;€1.00m;Defensive Midfield;1998-04-22
Bernardo Vilar Estevão Jeronimo;IFK Göteborg;1,92 m;left;;Centre-Back;1998-02-12
Carl Johansson;IFK Göteborg;1,94 m;right;€400Th.;Centre-Back;1994-05-23
Filip Ambroz;IFK Göteborg;1,84 m;;;Central Midfield;2003-12-01
Gustaf Norlin;IFK Göteborg;1,83 m;left;€500Th.;Right Winger;1997-01-09
Gustav Svensson;IFK Göteborg;1,84 m;right;€300Th.;Defensive Midfield;1987-02-07
Hosam Aiesh;IFK Göteborg;1,75 m;right;€500Th.;Right Winger;1995-04-14
Ioannis Anestis;IFK Göteborg;1,98 m;right;€800Th.;Goalkeeper;1991-03-09
Isak Dahlqvist;IFK Göteborg;1,73 m;;€50Th.;Right Winger;2001-09-25
Jesper Tolinsson;IFK Göteborg;1,90 m;;€1.50m;Centre-Back;2003-02-28
Kevin Yakob;IFK Göteborg;1,84 m;right;€400Th.;Attacking Midfield;2000-10-10
Kolbeinn Sigþórsson;IFK Göteborg;1,86 m;right;€400Th.;Centre-Forward;1990-03-14
Marcus Berg;IFK Göteborg;1,84 m;right;€1.20m;Centre-Forward;1986-08-17
Marek Hamšík;IFK Göteborg;1,83 m;both;€3.00m;Central Midfield;1987-07-27
Mattias Bjärsmyr;IFK Göteborg;1,86 m;right;€200Th.;Centre-Back;1986-01-03
Noah Alexandersson;IFK Göteborg;1,79 m;right;€200Th.;Left Winger;2001-09-30
Oscar Vilhelmsson;IFK Göteborg;1,88 m;left;€50Th.;Centre-Forward;2003-10-02
Oscar Wendt;IFK Göteborg;1,81m;left;€600Th.;Left-Back;1985-10-24
Robin Söder;IFK Göteborg;1,77 m;right;€300Th.;Centre-Forward;1991-04-01
Sebastian Eriksson;IFK Göteborg;1,84 m;left;€400Th.;Central Midfield;1989-01-31
Simon Thern;IFK Göteborg;1,79 m;right;€1.00m;Central Midfield;1992-09-18
Tobias Sana;IFK Göteborg;1,72 m;both;€600Th.;Left Winger;1989-07-11
Yahya Kalley;IFK Göteborg;1,85 m;;€300Th.;Left-Back;2001-03-20
Abdulrazaq Ishaq;IFK Norrköping;m;;€700Th.;Right Midfield;2002-05-05
Alexander Fransson;IFK Norrköping;1,80 m;right;€1.00m;Central Midfield;1994-04-02
